DEPT,AT90,GR,HCAL,NPHI,RHOZ,DTCO,DTSM
7373,6.726,97.55,8.919,0.136,2.64,64.639,114.897
7373.5,5.978,98.6,8.9,0.118,2.642,63.122,113.605
7374,5.508,93.73,8.885,0.106,2.651,62.288,111.634
7374.5,7.029,91.212,8.896,0.093,2.664,61.613,110.481
7375,8.948,83.055,8.907,0.08,2.668,60.034,109.483
7375.5,10.059,74.928,8.907,0.062,2.677,59.617,108.884
7376,11.932,71.242,8.885,0.047,2.684,59.201,107.4
7376.5,10.794,68.346,8.885,0.046,2.689,58.941,106.838
7377,10.059,76.49,8.892,0.05,2.68,58.593,106.333
7377.5,9.55,81.097,8.892,0.054,2.646,58.551,105.959
7378,11.8,82.281,8.907,0.055,2.609,58.59,105.67
7378.5,14.329,78.053,8.9,0.052,2.581,58.609,105.529
7379,15.529,74.25,8.896,0.049,2.567,58.783,105.587
7379.5,18.613,76.487,8.885,0.047,2.569,59.183,105.801
7380,23.636,78.725,8.896,0.044,2.577,59.314,105.623
7380.5,32.677,81.344,8.885,0.044,2.603,59.725,105.808
7381,43.22,84.518,8.874,0.039,2.622,59.735,106.147
7381.5,49.111,89.223,8.896,0.046,2.625,59.755,106.409
7382,48.76,92.508,8.896,0.061,2.628,59.769,106.354
7382.5,42.065,93.019,8.874,0.073,2.64,59.642,106.219
7383,35.364,89.049,8.907,0.074,2.658,59.442,106.185
7383.5,46.442,90.908,8.907,0.068,2.666,59.484,106.002
7384,52.789,93.804,8.896,0.065,2.661,58.824,105.412
7384.5,61.036,92.674,8.896,0.056,2.647,58.105,105.125
7385,66.067,84.516,8.885,0.039,2.646,58.088,104.753
7385.5,90.677,75.566,8.874,0.024,2.646,58.097,104.38
7386,95.166,73.197,8.896,0.02,2.668,58.328,104.235
7386.5,60.198,72.525,8.885,0.02,2.675,58.618,104.458
7387,37.143,77.673,8.885,0.033,2.665,58.884,104.662
7387.5,23.787,86.492,8.896,0.061,2.642,59.332,104.643
7388,14.384,90.968,8.896,0.073,2.621,59.354,104.83
7388.5,11.395,94.122,8.874,0.063,2.608,59.488,105.008
7389,17.606,90.436,8.885,0.041,2.593,59.708,105.084
7389.5,34.892,91.809,8.896,0.037,2.584,59.888,105.03
7390,48.209,94.037,8.896,0.033,2.574,59.806,105.01
7390.5,45.1,90.351,8.896,0.034,2.565,59.534,104.848
7391,48.623,90.752,8.907,0.036,2.551,59.148,104.314
7391.5,62.652,84.267,8.885,0.037,2.552,58.778,104.338
7392,67.759,88.893,8.896,0.035,2.556,59.201,104.296
7392.5,68.152,90.541,8.896,0.035,2.563,59.313,104.37
7393,55.892,93.472,8.896,0.038,2.568,59.26,104.795
7393.5,45.494,90.821,8.896,0.043,2.58,59.337,105.227
7394,38.365,92.155,8.885,0.047,2.601,59.94,105.414
7394.5,32.205,96.367,8.885,0.053,2.607,60.087,105.433
7395,27.675,101.764,8.896,0.065,2.608,60.145,106.395
7395.5,20.339,102.009,8.885,0.086,2.609,60.315,106.38
7396,12.029,104.266,8.885,0.098,2.616,60.427,106.618
7396.5,8.475,105.451,8.885,0.092,2.62,60.448,106.682
7397,9.548,105.451,8.892,0.074,2.618,60.573,106.966
7397.5,16.117,102.272,8.896,0.059,2.614,60.583,107.249
7398,27.393,100.184,8.885,0.056,2.609,60.576,107.058
7398.5,33.294,98.209,8.892,0.055,2.594,60.521,106.807
7399,30.772,100.579,8.885,0.059,2.588,60.444,106.591
7399.5,24.669,100.824,8.9,0.061,2.588,60.314,106.501
7400,22.83,99.788,8.907,0.059,2.585,60.107,106.484
7400.5,20.537,94.128,8.93,0.058,2.585,60.063,106.31
7401,19.367,95.971,8.896,0.06,2.588,59.926,106.348
7401.5,19.037,96.876,8.907,0.057,2.588,59.9,106.02
7402,19.99,99.13,8.907,0.056,2.577,59.668,106.13
7402.5,22.597,96.498,8.896,0.053,2.561,59.466,105.432
7403,25.903,95.05,8.9,0.05,2.558,59.217,104.829
7403.5,30.021,92.269,8.892,0.045,2.557,58.868,104.374
7404,36.607,91.496,8.907,0.036,2.556,58.65,104.076
7404.5,46.834,90.706,8.915,0.032,2.555,58.661,103.437
7405,67.325,91.759,8.907,0.027,2.565,58.59,103.239
7405.5,96.596,88.057,8.907,0.026,2.573,58.416,103.102
7406,109.774,86.624,8.885,0.03,2.587,58.389,102.977
7406.5,138.315,82.544,8.907,0.027,2.601,58.473,103.037
7407,107.818,84.386,8.885,0.025,2.615,58.415,103.328
7407.5,86.259,83.582,8.907,0.023,2.61,58.817,103.488
7408,71.937,86.23,8.919,0.026,2.586,58.924,103.729
7408.5,50.023,88.599,8.919,0.037,2.568,59.055,104.027
7409,35.076,92.021,8.907,0.044,2.568,59.083,104.363
7409.5,21.148,94.506,8.907,0.05,2.572,59.052,104.414
7410,18.429,94.524,8.907,0.047,2.57,58.899,104.616
7410.5,23.349,98.472,8.907,0.041,2.571,58.862,104.689
7411,35.35,96.235,8.907,0.032,2.581,58.932,104.58
7411.5,50.297,92.4,8.9,0.03,2.591,59.101,104.823
7412,48.925,87.81,8.877,0.037,2.599,59.132,104.812
7412.5,28.758,91.007,8.877,0.052,2.608,59.055,104.301
