DEPT,AT10,AT90,GR,HCAL,NPHI,NPOR,RHOZ,DTCO,DTSM,DTST,PR
7172,5.201,2.814,52.755,8.828,0.07,0.058,2.537,62.75,108.738,263.004,0.25
7172.5,4.805,2.821,56.214,8.825,0.069,0.058,2.565,62.46,108.424,262.872,0.252
7173,5.008,2.889,56.346,8.795,0.07,0.077,2.585,62.411,108.523,262.848,0.253
7173.5,5.591,3.041,53.571,8.862,0.07,0.071,2.587,62.566,108.498,262.898,0.251
7174,6.375,3.109,52.791,8.919,0.079,0.075,2.577,63.095,109.833,263.051,0.254
7174.5,5.157,2.683,58.078,8.896,0.103,0.115,2.554,63.561,110.549,263.373,0.253
7175,4.115,2.322,59.273,8.84,0.109,0.117,2.534,64.299,111.126,263.593,0.248
7175.5,4.018,2.252,60.316,8.874,0.111,0.102,2.519,65.742,114.05,263.952,0.251
7176,3.949,2.063,57.661,8.907,0.113,0.107,2.511,66.016,114.984,264.37,0.254
7176.5,3.618,2.14,62.729,8.847,0.121,0.115,2.506,67.428,116.841,265.018,0.25
7177,3.365,1.98,68.52,8.828,0.128,0.126,2.498,68.251,118.767,265.298,0.253
7177.5,2.797,1.674,76.564,8.825,0.13,0.134,2.486,68.873,120.585,265.569,0.258
7178,2.231,1.413,82.543,8.862,0.139,0.136,2.476,69.525,122.427,266.012,0.262
7178.5,1.992,1.309,87.632,8.874,0.137,0.129,2.475,70.439,124.114,266.147,0.262
7179,1.717,1.224,94.965,8.919,0.137,0.128,2.498,71.369,127.126,266.358,0.27
7179.5,1.531,1.15,105.999,8.964,0.135,0.132,2.526,71.812,128.457,266.671,0.273
7180,1.466,1.113,111.703,8.975,0.145,0.16,2.542,72.466,129.629,266.708,0.273
7180.5,1.437,1.089,118.989,8.907,0.15,0.153,2.541,72.818,130.736,266.77,0.275
7181,1.41,1.054,120.459,8.892,0.152,0.138,2.538,73.227,130.655,266.941,0.271
7181.5,1.391,1.002,119.143,8.952,0.143,0.133,2.534,73.496,130.981,266.961,0.27
7182,1.403,1.002,105.036,8.874,0.154,0.143,2.513,73.854,131.188,267.148,0.268
7182.5,1.431,0.996,92.548,8.896,0.153,0.152,2.478,74.157,132.932,267.318,0.274
7183,1.472,1.006,91.137,8.919,0.169,0.15,2.456,74.531,131.827,267.436,0.265
7183.5,1.398,0.99,91.532,8.885,0.161,0.151,2.47,74.649,132.062,267.385,0.265
7184,1.319,0.97,99.15,8.896,0.166,0.151,2.493,74.698,132.392,267.459,0.266
7184.5,1.246,0.933,103.588,8.874,0.159,0.155,2.513,74.762,132.442,267.399,0.266
7185,1.241,0.96,111.901,8.885,0.164,0.161,2.513,74.595,132.678,267.312,0.269
7185.5,1.283,1.016,114.533,8.896,0.163,0.163,2.514,74.516,131.994,267.134,0.266
7186,1.344,1.126,109.812,8.915,0.159,0.147,2.515,73.799,131.618,266.518,0.271
7186.5,1.409,1.236,108.476,8.952,0.15,0.146,2.525,73.251,131.151,266.248,0.273
7187,1.489,1.326,107.817,8.964,0.146,0.124,2.541,72.88,129.371,266.015,0.268
7187.5,1.618,1.496,116.488,8.975,0.135,0.137,2.551,72.522,128.69,265.554,0.267
7188,1.803,1.789,117.265,8.952,0.132,0.128,2.558,71.819,127.87,265.37,0.27
7188.5,2.008,2.195,117.549,8.907,0.133,0.12,2.556,71.361,127.114,265.129,0.27
7189,2.226,2.229,118.602,8.952,0.14,0.128,2.553,70.995,124.967,264.624,0.262
7189.5,2.326,2.193,116.903,8.907,0.144,0.138,2.556,70.163,124.273,264.323,0.266
7190,2.356,2.138,115.303,8.896,0.133,0.139,2.564,69.643,122.359,264.106,0.26
7190.5,2.352,2.133,107.706,8.907,0.131,0.124,2.572,69.19,121.834,263.89,0.262
7191,2.362,2.059,105.337,8.941,0.124,0.122,2.579,68.669,121.311,263.84,0.264
7191.5,2.404,1.993,100.616,8.907,0.123,0.129,2.576,68.414,120.813,263.844,0.264
7192,2.578,1.994,87.284,8.93,0.1,0.104,2.566,68.347,121.008,263.823,0.266
7192.5,2.819,1.979,75.965,8.855,0.083,0.076,2.554,68.112,120.493,263.828,0.265
7193,2.416,1.75,71.235,8.877,0.088,0.079,2.536,68.007,120.573,263.852,0.267
7193.5,2.034,1.571,76.895,8.885,0.113,0.103,2.53,68.143,121.398,263.889,0.27
7194,1.972,1.453,80.989,8.885,0.129,0.12,2.535,68.004,120.939,264.032,0.269
7194.5,1.943,1.451,78.725,8.896,0.119,0.118,2.553,68.256,121.372,264.098,0.269
7195,1.893,1.459,80.963,8.907,0.114,0.118,2.566,68.478,122.501,264.171,0.273
7195.5,1.851,1.495,86.301,8.93,0.118,0.123,2.577,69.331,123.251,264.456,0.269
7196,1.904,1.605,90.908,8.941,0.133,0.129,2.583,69.551,123.552,264.485,0.268
7196.5,2.054,1.738,100.78,8.874,0.137,0.125,2.588,69.49,124.082,264.427,0.272
7197,2.14,1.875,104.923,8.9,0.131,0.121,2.582,69.462,124.115,264.404,0.272
7197.5,2.131,1.968,111.768,8.915,0.124,0.122,2.574,69.442,123.838,264.384,0.271
7198,2.139,1.997,99.922,8.93,0.121,0.123,2.573,69.383,123.785,264.412,0.271
7198.5,2.199,2.012,95.353,8.941,0.114,0.114,2.571,69.449,124.109,264.431,0.272
7199,2.252,1.893,87.719,8.986,0.107,0.107,2.579,69.643,124.441,264.659,0.272
7199.5,2.231,1.738,91.799,8.975,0.109,0.097,2.581,70.151,124.355,264.85,0.267
7200,2.15,1.597,99.133,8.919,0.12,0.119,2.576,70.385,124.118,265.006,0.263
7200.5,2.118,1.472,103.345,8.941,0.136,0.134,2.559,70.293,124.782,265.277,0.268
7201,2.011,1.373,105.965,8.93,0.138,0.132,2.538,70.377,124.518,265.362,0.265
7201.5,2.075,1.297,99.627,8.919,0.147,0.142,2.509,70.431,124.292,265.504,0.264
7202,2.067,1.232,91.861,8.915,0.154,0.149,2.49,70.669,124.586,265.674,0.263
7202.5,2.123,1.16,76.832,8.907,0.143,0.144,2.486,70.699,123.98,265.942,0.259
7203,2.063,1.096,64.601,8.862,0.128,0.121,2.502,70.651,123.788,266.094,0.258
7203.5,2.059,1.047,63.943,8.885,0.127,0.114,2.506,70.718,124.145,266.249,0.26
7204,1.984,1.01,69.639,8.87,0.135,0.135,2.494,71.006,124.361,266.494,0.258
7204.5,2.023,0.997,70.287,8.862,0.136,0.135,2.48,71.33,124.621,266.667,0.256
7205,2.117,0.987,70.156,8.84,0.124,0.111,2.485,71.724,126.478,266.895,0.263
7205.5,2.052,0.963,73.959,8.885,0.129,0.112,2.489,72.214,126.814,267.487,0.26
7206,1.885,0.917,79.237,8.9,0.145,0.145,2.476,73.252,127.41,267.671,0.253
7206.5,1.743,0.879,82.791,8.862,0.172,0.157,2.451,73.624,128.149,267.78,0.254
7207,1.692,0.857,77.935,8.896,0.176,0.179,2.437,73.78,128.251,267.922,0.253
7207.5,1.729,0.866,81.081,8.941,0.183,0.161,2.44,74.255,128.308,268.054,0.248
7208,1.811,0.88,83.294,8.877,0.166,0.17,2.437,74.399,129.817,268.087,0.255
7208.5,1.903,0.898,85.019,8.862,0.167,0.167,2.437,74.69,130.937,268.198,0.259
7209,2.009,0.909,83.44,8.851,0.152,0.139,2.437,74.657,130.917,267.981,0.259
7209.5,1.93,0.884,81.358,8.851,0.155,0.15,2.443,74.474,129.7,267.898,0.254
7210,1.825,0.87,83.638,8.874,0.156,0.149,2.438,74.422,130.422,267.721,0.259
7210.5,1.783,0.864,82.848,8.896,0.168,0.144,2.437,74.304,129.529,267.697,0.255
7211,1.852,0.87,82.585,8.87,0.163,0.162,2.443,74.352,130.646,267.683,0.26
7211.5,1.894,0.875,83.861,8.806,0.171,0.158,2.464,74.337,130.557,267.705,0.26
7212,1.825,0.865,92.059,8.84,0.172,0.156,2.474,74.409,130.714,267.729,0.26
7212.5,1.719,0.84,95.694,8.84,0.182,0.179,2.47,74.458,130.905,267.711,0.261
7213,1.676,0.822,96.545,8.84,0.183,0.169,2.454,74.363,130.562,267.743,0.26
7213.5,1.747,0.832,92.295,8.84,0.18,0.168,2.446,74.363,130.295,267.796,0.258
7214,1.803,0.835,87.871,8.862,0.17,0.167,2.453,74.51,131.159,267.875,0.262
